Site Number;Site Portfolio;Asset Status;State;City;Address;Latitude Decimal;Longitude Decimal;Anchor Tenant Name;Asset Source;Marketable Flag;Asset Class;Asset Type;Site Type;Constructed Date;Acquired Date;Tenant Ready Date;Non Marketable Reason;Site Created On Date;Building Height Asset;Total Height;Structure Height;Tower Extended Flag;Structure Type;Reinforcement Flag;Access Instructions;Building Height;Cliente 1;Cliente 2;Cliente 3;Cliente 4;Cliente 5;Cliente 6;Cliente 7;Cliente 8;Cliente 9;Cliente 10;Cliente 11;Cliente 12;Cliente 13;Cliente 14;Estacao
7100;C;Active;;Petrópolis;RUA TERESA, 14;-15,6375;-56,18555555;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;12/15/2017;;15/12/2017;;11/07/2017 22:51;0;40;40;;Self Support;;;0;;;;;;;;;;;;;X;;687217482
7101;C;Active;;Angra dos Reis;RUA PADRE ANTONIO MULLER 295;-15,720833;-56,137361;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;02/27/2018;;27/02/2018;;04/07/2017 15:40;0;40;40;;Self Support;;;0;;X;;;;;;;;;;;X;;1007202162
7102;D;Active;;Rio de Janeiro;AV. DOS FLAMBOYANTS - PENINSULA OPEN MALL S/N;-15,66348898;-56,16960311;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:39;;;39.69;N;Self Support;N;;;;;;;;X;;;;X;;;X;;1007202189
7103;D;Active;;Conceição de Macabu;RUA CORONEL ETELVINO DA SILVA GOMES  S/Nº;-15,7093197;-56,1078562;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;06/30/2012;30/06/2012;;19/10/2015 20:45;0;60;60;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;X;;1007191993
7104;D;Active;;Engenheiro Paulo de Frontin;PARADA PERIMETRO URBANO DO 1º DISTRITO DO MUNICIPIO DE PAULO DE FRONTIN;-15,64756;-56,13391;Telefonica Brasil S.A;Acquired;N;Wireless;Tower;;;06/30/2012;30/06/2012;Embargoed;19/10/2015 20:45;0;33.4;33.4;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;X;;;;X;;;X;;1007192019
7105;C;Active;;Natividade;RUA TELERJ RADIO NATIVIDADE  TELERJ RADIO NATIVIDADE;-12,28820169;-55,29792553;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;50;N;Self Support;N;;;;;;;;;;;;;;X;;;1007192043
7106;D;Active;;Sumidouro;RUA TERRENO PREFEITURA  LOTE 55  NO LOTEAMENTO PROGRES;-12,29350171;-55,29477274;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:39;0;79;79;N;Monopole;Y;;0;;;;;;;;;;;;;X;;1007192078
7107;C;Active;;São Sebastião do Alto;CHACARA CHÁCARA SANTA MARINA  S/Nº;-12,24514559;-55,54959347;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;0;61;61;N;Self Support;N;;0;;X;;;;;;;;;;X;;;1007192086
7108;C;Active;;Magé;PROJETADA RUA TRES, LT 09, QD 33 S/N;-12,1801454;-55,52653768;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;0;61.3;61.3;N;Self Support;N;;0;;X;;;;;;;;;;X;;;1007215817
7109;C;Active;;Itaguaí;RUA ARTUR BERNARDES CASTRO,  S/N, DQ LO 4, VILA MARGARIDA;-15,15333333;-59,80694444;Tim;Built;Y;Wireless;Tower;;12/20/2017;;20/12/2017;;11/07/2017 22:39;0;60;60;;Self Support;;;0;;;;;;;;;;;;X;;;1007215833
7110;A;Active;;Itaboraí;RUA MOREIRA DE AZEVEDO, S/N, QD. 136, LT. 12;-15,00625737;-59,95239856;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:32;0;78;78;N;Self Support;N;Autorização Regional Oi/CGS;0;;X;;;;;X;;;;;;X;;1007215841
7111;C;Active;;Angra dos Reis;Rua Benedito Pedro Fernandes, 82;-15,005;-59,94888889;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:58;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;1005121955
7112;A;Active;;Rio de Janeiro;RUA TEÓFILO OTONI- 82- CENTRO;-11,29127778;-51,69072222;BR Towers;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;09/02/2017 13:22;;;130;;Guyed;;;;;;;;;;X;;;;;;;;665600844
7113;A;Active;;Maricá;RUA CENTO E DEZESSEIS S/N  QU507 LT0 JARDIM ATLANTICO LESTE (ITAIPUACU) MARICA;-10,013251;-51,120665;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:32;;;60;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;X;;1007246399
7114;C;Active;;Rio de Janeiro;AV. DAS AMÉRICAS, 4666;-10,01328;-51,12065;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:20;0;59;59;N;Self Support;N;;0;;X;;;;;X;;;;;X;;;671032828
7115;C;Active;;Resende;RUA VIRGULINO JOSÉ DE OLIVEIRA S/N;-1,6248346;-48,8036908;Claro;Built;Y;Wireless;Tower;;09/02/2014;;02/09/2014;;19/10/2015 21:06;0;60;60;N;Self Support;N;CADEADO SEGREDO 1822;0;;X;;;;;;;;;;;;;1007295110
7116;C;Active;;Resende;RUA SANTA ISABEL S/N BOCA DO LEÃO;-1,71416667;-48,88083333;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:58;;;60;N;Self Support;N;;;;X;;;;;X;;;;;X;;;1007295128
7117;C;Active;;Resende;RUA ÍRIA JÚLIA MARTINS S/N;-1,73194444;-48,85722222;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:58;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;1007295136
7118;C;Active;;Rio de Janeiro;AV. DAS AMÉRICAS 19019;-1,731;-48,882083;Tim;Acquired;Y;Wireless;Tower;;;06/09/2016;09/06/2016;;07/07/2016 14:05;;;40;;Self Support;;;;;;;;;;;;;;;X;;;671041347
7119;C;Active;;Rio de Janeiro;AVENIDA MARECHAL FONTENELLE 3545;-6,89383333;-50,23416666;Tim;Built;Y;Wireless;Tower;;02/27/2018;;27/02/2018;;25/04/2017 16:35;0;80;80;;Self Support;;;0;;;;;;;;;;;;X;;;1007339125
7120;D;Active;;Rio de Janeiro;ESTRADA DO GUANDU SENA     275  BANGU RIO DE JANEIRO;-1,938472;-54,73222;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:35;;;40;N;Self Support;Y;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;1007251767
7121;C;Active;;Rio de Janeiro;PRAÇA CORONEL EUGÊNIO FRANCO 2  COPACABANA RIO DE JANEIRO;-1,529418;-52,577329;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;0;51;51;N;Self Support;N;;0;;;;;;;X;;;;;X;;;1007251775
7122;D;Active;;Rio de Janeiro;AVENIDA  DAS AMÉRICAS     679  BARRA DA TIJUCA RIO DE JANEIRO;-0,86507568;-52,5364556;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;06/30/2012;30/06/2012;;19/10/2015 20:40;0;80;80;N;Self Support;Y;;0;;;;;;;;;;;;;X;;1007251783
7123;C;Active;;Rio de Janeiro;AVENIDA VINTE DE JANEIRO S/N AEROPORTO INTERNACIONAL ANTONIO CARLOS JOBIM GALEAO RIO DE JANEIRO;-0,86361111;-52,53666667;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:57;;;89;N;Self Support;N;;;;;;;;;;;;;;X;;;1007251813
7124;D;Active;;Rio de Janeiro;RUA JURANDA      47 QD  100 CURICICA RIO DE JANEIRO;-0,85976429;-52,54242882;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;06/30/2012;30/06/2012;;19/10/2015 20:40;;;40;N;Self Support;Y;;;;;;;;;;;;;;;X;;1007251821
7125;D;Active;;Rio de Janeiro;RUA CLARIMUNDO DE MELO    76  ENCANTADO RIO DE JANEIRO;-1,49535833;-52,60376944;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;08/31/2012;08/31/2012;31/08/2012;;19/10/2015 20:46;0;50;50;N;Self Support;Y;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;X;;1007251848
7126;C;Active;;Rio de Janeiro;RUA CONDESSA BELMONTE       362  ENGENHO NOVO RIO DE JANEIRO;-3,19933187;-52,20359416;Vivo;Built;Y;Wireless;Tower;;01/30/2015;;30/01/2015;;19/10/2015 21:24;;40;40;N;Self Support;N;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;1007251856
7127;C;Active;;Rio de Janeiro;AVENIDA AYRTON SENNA     540  BARRA DA TIJUCA RIO DE JANEIRO;-3,2048321;-52,21345534;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:20;;;50;N;Self Support;N;;;;;;;;;;;;;;X;;;1007251872
7128;D;Active;;Rio de Janeiro;RUA LAGOA SANTA  S/N  QD  DLOTE 06 ANIL RIO DE JANEIRO;-3,21133213;-52,21809425;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:35;;;40;N;Self Support;Y;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;1007251899
7129;C;Active;;Rio de Janeiro;ESTRADA DOS BANDEIRANTES      5431  CURICICA RIO DE JANEIRO;-3,18693055;-52,22427777;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;09/30/2014;;30/09/2014;;19/10/2015 21:22;0;40;40;N;Self Support;N;Cadeado de segredo 1822;0;;;;;;;;;;;;;X;;1007251902
7130;C;Active;;Rio de Janeiro;AVENIDA RIO BRANCO 53  CENTRO RIO DE JANEIRO;-3,19472222;-52,22027778;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 10:04;;;87;N;Self Support;N;;;;;;;;;X;;;;;X;;;1007251945
7131;C;Active;;Rio de Janeiro;AVENIDA DAS AMERICAS 3700  BARRA DA TIJUCA RIO DE JANEIRO;-3,23;-52,26938888;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;11/22/2017;;22/11/2017;;17/01/2017 07:44;0;30;30;;Self Support;;;0;;;;;;;;;;;;;X;;1007251953
7132;D;Active;;Rio de Janeiro;AVENIDA DAS AMERICAS 7777  BARRA DA TIJUCA RIO DE JANEIRO;-3,19249871;-52,20539973;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:35;;;50;N;Self Support;Y;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;1007251961
7133;C;In Development;;Rio de Janeiro;Rua Dias Ferreira, 658;-3,19213888;-52,22983333;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;;;;;10/05/2018 12:33;;;40;;Self Support;;;;;;;;;;;;;;;;X;;1007385941
7134;D;Active;;Cabo Frio;RUA RAUL VEIGA 378  CENTRO CABO FRIO;-3,20844323;-52,22928876;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:35;;;40;N;Self Support;Y;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;700055592
7135;C;Active;;Petrópolis;ESTRADA SILVEIRA DA MOTA s/n KM2 POSSE PETROPOLIS;-3,17780555;-52,22169444;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;05/22/2018;;22/05/2018;;08/01/2018 12:00;0;40;40;;Self Support;;;0;;;;;;;;;;;;;X;;1007259784
7136;C;In Development;;Petrópolis;RUA D (VICTOR SANT ANA) 169  FAZENDA INGLESA PETROPOLIS;-3,19183333;-52,20894444;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;;;;;28/03/2018 08:15;;;40;;Self Support;;;;;;;;;;;;;;;;X;;1007259792
7137;A;Active;;Resende;RODOVIA PRES. DUTRA s/n KM 325 JARDIM ESPERANCA RESENDE;-0,98666667;-49,94;BR Towers;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;09/01/2017 16:37;0;45;45;;Self Support;;;0;;;;;;X;X;;;;;;;;1007259814
7138;C;Active;;São Gonçalo;TRAVESSA CIRO COSTA, 9, ENGENHO PEQUENO;-0,98537638;-49,93927506;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;30;N;Self Support;N;;;;;;;;;;;;;;X;;;686778294
7139;B;Active;;Itaboraí;RUA D, LOTE 15, QUADRA 22 S/N;-1,35724166;-48,39358888;Oi;Acquired;Y;Wireless;Tower;;;03/01/2011;01/03/2011;;19/10/2015 20:33;0;40;40;N;Self Support;N;CADEADO MULTLOCK PADRÃO ATC.;0;;;;;;;;;;;;X;X;;1007380788
7140;C;Active;;Queimados;RUA LIBÉLULAS. S/N;-1,3290816;-48,4009326;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;01/12/2015;;12/01/2015;;19/10/2015 21:24;;40;40;N;Self Support;N;Cadeado de segredo 1822;;;X;;;;;;;;;;;X;;1007380796
7141;B;Active;;Rio Bonito;VIA LAGOS- KM 19 S/N;-1,36760098;-48,4023215;Tim;Acquired;Y;Wireless;Tower;;;03/01/2011;01/03/2011;;19/10/2015 20:33;0;40;40;N;Self Support;N;;0;;;;;;;;;;;;X;;;1007380800
7142;A;Active;;Duque de Caxias;RUA NATAL, 380 , VILA SANTA CRUZ;-1,42027777;-48,3511111;BR Towers;Acquired;Y;Wireless;Tower;;;09/01/2017;01/09/2017;;25/09/2017 09:17;0;48;48;;Self Support;;;0;;;;;;;;;;;;;;;1007393766
7143;E;Active;;Iguaba Grande;RUA DONA JOANA 14;-1,350913;-48,38692;Nextel;Acquired;N;Wireless;Tower;;;12/06/2013;06/12/2013;Tower Dismantled;19/10/2015 20:53;0;40;40;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;;;1007393774
7144;C;Active;;Itaboraí;AVENIDA CARLOS LACERDA S/N LT 1, N 16;-1,34121194;-48,35704345;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;50;N;Monopole;N;;;;;;;;;;;;;;X;;;1007393782
7145;D;Active;;Magé;RUA DIRON TORRES PAIVA, 260/CASA 4 260;-1,3834344;-48,4064882;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;06/30/2012;30/06/2012;;19/10/2015 20:40;;;60;N;Self Support;Y;;;;X;;;;;;;;;;;X;;1007393790
7146;E;Active;;Rio Claro;FAZENDA ALAMBARI, KM 32 DA RJ-155;-1,35075;-48,41934999;Nextel;Acquired;Y;Wireless;Tower;;;11/29/2013;29/11/2013;;19/10/2015 20:49;0;40;40;N;Self Support;N;;0;;;;;;X;;;;;;;X;;686724950
7147;E;Active;;Natal;RUA  POTENGI,735,PETROPOLIS;-1,395815;-48,418382;Nextel;Acquired;N;Wireless;Tower;;;12/06/2013;06/12/2013;Tower Dismantled;19/10/2015 20:53;0;41.4;41.4;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;;;907936
7148;C;Active;;Mossoró;RUA SEVERINO TAVARES DA SILVA S/N -MONSENHOR AMERICO-MOSSORO;-1,39565669;-48,41871049;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;60;N;Monopole;N;;;;;X;;;;;;;;;X;;;915238
7149;D;Active;;Caicó;RUA JOEL DAMASCENO,S/N,CENTRO;-1,32510043;-48,35232075;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;06/30/2012;30/06/2012;;19/10/2015 20:40;;;50;N;Self Support;N;;;;X;;;;;;;;;;;X;;927139
7150;E;Active;;Açu;RUA GENERAL ANTONIO FREIRE,S/N,DOM ELIZEU;-1,38166666;-48,36893888;Nextel;Acquired;Y;Wireless;Tower;;;11/29/2013;29/11/2013;;19/10/2015 20:49;;;30;N;Monopole;N;;;;;;;;;;;;;;;;;927163
7151;E;Active;;Acari;REPETIDORA SERRA DE LAGOA SECA,S/N,RURAL;-1,358842;-48,371991;Nextel;Acquired;Y;Wireless;Tower;;;12/06/2013;06/12/2013;;19/10/2015 20:53;0;31.6;31.6;N;Self Support;N;CADEADO SEGREDO 1822;0;;;;;;;;;;;;;;;4203500
7152;C;Active;;Natal;RUA DESEMBARGADOR VIRGILIO DANTAS S/N -TIROL-NATAL;-1,361304;-48,402008;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;0;41.3;41.3;N;Monopole;N;;0;;;;;;;;;;;;X;;;4735897
7153;E;Active;;Natal;RUA PROFESSOR SEVERINO BEZERRA 1025 -TIROL-NATAL;-1,337326;-48,411061;Nextel;Acquired;Y;Wireless;Tower;;;12/06/2013;06/12/2013;;19/10/2015 20:53;0;42.6;42.6;N;Self Support;N;Cadeado de segrerdo 1822;0;;;;;;;;;;;;;;;4748778
7154;C;Active;;Natal;RUA AFRÂNIO PEIXOTO,S/N,ALECRIM;-1,37371212;-48,40982155;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;40;N;Monopole;N;;;;;;;;;;;;;;X;;;4763556
7155;C;Active;;Natal;AVENIDA SENADOR SALGADO FILHO,1811,LAGOA NOVA;-1,38148994;-48,43259946;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:20;;;40;N;Monopole;N;;;;;;;;;;;;;;X;;;4765044
7156;C;Active;;Natal;RUA PROF BILACK DE FARIAS ,1777,CAPIM MACIO;-1,361306;-48,402011;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:20;0;41.4;41.4;N;Monopole;N;;0;;;;;;;;;;;;X;;;4863887
7157;C;Active;;Natal;RUA  ARAGUARI,S/N,DIX-SEPT ROSADO;-1,38121217;-48,36982131;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;40;N;Monopole;N;;;;;;;;;;;;;;X;;;5067146
7158;C;Active;;Natal;AVENIDA ENGENHEIRO ROBERTO FREIRE S/N -PONTA NEGRA-NATAL;-1,338333;-48,420556;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;6558003
7159;C;Active;;Goianinha;BR 101 - REPETIDORA DA SERRA DO CATU,S/N,RURAL;-1,372883;-48,418288;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:20;0;40;40;N;Self Support;N;;0;;;;;;;;;;;;X;;;6558062
7160;C;Active;;Angicos;RODOVIA BR 304,S/N,RURAL;-1,39732337;-48,40926599;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;430892543
7161;C;Active;;Natal;RUA AFRANIO PEIXOTO 980 -BARRO VERMELHO-NATAL;-1,38287884;-48,41759938;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:24;;;40;N;Self Support;N;;;;;;;;;;;;X;;X;;;431377618
7162;C;Active;;Natal;AVENIDA GOVERNADOR TARCISIO DE VASCONCELOS MAIA,2098A,CANDELARIA;-1,336947;-48,384701;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:58;0;40;40;N;Self Support;N;;0;;;X;;;X;;;;;;X;X;;431377715
7163;C;Active;;Natal;RUA INDUSTRIAL JOAO MOTTA 2031 -CAPIM MACIO-NATAL;-1,33055556;-48,37361111;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:58;;;50;N;Self Support;N;;;;;;;;;;;;X;;X;X;;431377928
7164;C;Active;;Caiçara do Rio do Vento;RODOVIA BR 304 ,S/N,CENTRO;-1,35777778;-48,41083333;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:58;;;40;N;Self Support;N;;;;;;;;;;;;;;X;X;;431377936
7165;C;Active;;Ceará-Mirim;PRAIA DE JACUMA         ,S/N,JACUMA;-1,33833333;-48,3925;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 09:58;;;40;N;Self Support;N;;;;;;;;;;;;;;X;;;431377979
7166;C;Active;;Tibau do Sul;RUA PRAIA DO AMOR         ,S/N,PRAIA DO PIPA;-1,388028;-48,430444;Tim;Acquired;Y;Wireless;Tower;;;12/16/2015;16/12/2015;;12/01/2016 13:23;;;40;;Self Support;;;;;;;;;;;;;;;X;X;;431377995
7167;C;Active;;Natal;AVENIDA SENADOR SALGADO FILHO,2964,LAGOA NOVA;-1,355175;-48,364917;Tim;Acquired;Y;Wireless;Tower;;;06/09/2016;09/06/2016;;07/07/2016 15:01;0;40.7;40.7;;Self Support;;;0;;;;;;;;;;;;X;X;;431378037
7168;C;Active;;São José do Campestre;RUA C L  ANDRADE ,SN,CENTRO;-1,35881944;-48,37193888;Tim;Acquired;Y;Wireless;Tower;;;06/30/2017;30/06/2017;;07/07/2017 07:36;0;50;50;;Self Support;;;0;;;;;;;;;;;;X;;;431378045
7169;C;Active;;Natal;RUA GIACOMO PALUMBO 141 -LAGOA SECA-NATAL;-1,36982321;-48,39537702;Claro;Built;Y;Wireless;Tower;;06/23/2008;;23/06/2008;;19/10/2015 19:58;0;50;51;N;Self Support;N;CADEADO MULTLOCK PADRÃO ATC.;0;;X;;;;;;;;;;;X;;431378061
7170;C;Active;;Macau;RUA PADRE JOAO CLEMENTE,S/N,CENTRO;-3,4595;-51,20933333;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;06/19/2017;;19/06/2017;;31/01/2017 12:45;0;40;40;;Self Support;;;0;;;;;;;;;;;;;X;;433066946
7171;C;Active;;Parnamirim;AVENIDA JOÃO XXIII  ,359,COHABINAL;-1,09926634;-46,47258735;Claro;Built;Y;Wireless;Tower;;09/26/2014;;26/09/2014;;19/10/2015 21:06;;70;70;N;Self Support;N;;;;X;;;;;;;;;;;;;442910436
7172;A;Active;;Canguaretama;RUA PROJETADA,SN,PRAIA BARRA DE CUNHAU;-2,13298611;-47,55919444;BR Towers;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;09/01/2017 16:37;0;44;44;;Self Support;;;0;;;;;;;X;;;;;;;;442911688
7173;C;Active;;Mossoró;SERRA DE MOSSORO,S/N,RURAL;-2,1331611;-47,55842762;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;0;61.3;61.3;N;Self Support;N;;0;;;;;;;;;;;;X;;;442912269
7174;C;Active;;Apodi;SITIO JATOBA S/N SERRA DE APODI-RURAL-APODI;-3,60649939;-55,32986128;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;30;N;Self Support;N;;;;;;;;;;;;;;X;;;442912293
7175;C;Active;;Pau dos Ferros;RUA COSMO INACIO,S/N,RURAL;-1,89732583;-50,21011013;Vivo;Built;Y;Wireless;Tower;;02/23/2015;;23/02/2015;;19/10/2015 21:24;;40;40;N;Self Support;N;;;;;;;;;;;;;;;X;;442912307
7176;C;In Development;;Caicó;RUA ZECO DINIZ S/N LOTE 501/502 -PENEDO-CAICO;-1,90125;-50,20916666;Tim;Built;Y;Wireless;Tower;;;;;;30/05/2017 15:04;;;80;;Self Support;;;;;;;;;;;;;;;X;;;442912366
7177;C;Active;;Riachuelo;RODOVIA BR 304 ,KM 80,RURAL;-3,03273888;-49,64028888;Claro;Built;Y;Wireless;Tower;;09/03/2014;;03/09/2014;;19/10/2015 21:06;;60;60;N;Self Support;N;CADEADO SEGREDO 1822;;;X;;;;;;;;;;;;;517462010
7178;C;Active;;Itajá;BR 304 - FAZENDA CAICARINHA,RN,RURAL;-2,79547222;-49,66894444;Tim;Built;Y;Wireless;Tower;;12/20/2017;;20/12/2017;;07/02/2017 10:30;0;30;30;;Self Support;;;0;;;;;;;;;;;;X;;;517462044
7179;D;Active;;Mossoró;RODOVIA BR 304 ,S/N,RURAL;-1,49382387;-48,70743448;Telefonica Brasil S.A;Acquired;N;Wireless;Tower;;;06/30/2012;30/06/2012;Reallocation;19/10/2015 20:40;0;60;60;N;Self Support;Y;;0;;;;;;;;;;;;;X;;517462079
7180;C;Active;;Parnamirim;RUA GENÉSIO PITANGA S/N QD D LT 20-PIUM (DISTRITO LITORAL)-PARNAMIRIM;-1,51482401;-48,62065618;SKY;Built;Y;Wireless;Tower;;10/21/2013;;21/10/2013;;19/10/2015 20:49;;;40;N;Self Support;N;;;;;;;;;;;;X;;;X;;517469758
7181;C;Active;;Tibau;RUA ERNESTO FREIRE,S/N,CENTRO;-1,51649057;-48,71704565;Claro;Built;Y;Wireless;Tower;;12/28/2012;;28/12/2012;;19/10/2015 20:46;;;40;N;Self Support;N;CADEADO MULTLOCK PADRÃO ATC.;;;X;;;;;;;;;;;;;517469774
7182;B;Active;;Nova Cruz;RUA DOUTOR MARIO NEGOCIO,169,SAO SEBASTIAO;-1,565861;-48,76657;Claro;Acquired;Y;Wireless;Tower;;;03/01/2011;01/03/2011;;19/10/2015 20:31;0;41;41;N;Self Support;N;;0;;X;;;;;;;;;;;;;534866433
7183;C;Active;;Touros;LARGO DE NOSSA SENHORA,S/N,CENTRO;-1,507719;-48,619313;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;534866441
7184;C;Active;;Natal;RUA VIRGINOPOLIS 4584 -NEOPOLIS-NATAL;-1,493784;-48,708452;Tim;Acquired;N;Wireless;Tower;;;04/29/2015;29/04/2015;Reinforcement;19/10/2015 22:07;0;50.1;50.1;N;Monopole;N;;0;;;;;;;X;;;;;X;;;617731276
7185;C;Active;;João Câmara;RUA JOSE MAIA,S/N,CENTRO;-1,565816;-48,766461;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:20;0;80;80;N;Self Support;N;;0;;;;;;;;;;;;X;;;665606109
7186;C;Active;;São Gonçalo do Amarante;RUA ENGENHEIRO LUCIANO BARROS 108 -SANTO ANTONIO-SAO GONCALO DO AMARANTE;-1,52232403;-48,70371224;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:07;;;39.68;N;Monopole;N;;;;;;;;;;;;;;X;;;665606370
7187;C;Active;;Guamaré;ESTRADA DO OLEO - ESTACAO PETROBRAS,S/N,RURAL;-1,576544;-48,735471;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:20;;;39.68;N;Self Support;N;;;;;;;;;;;;;;X;X;;683495313
7188;C;Active;;Tangará;RUA JOAO ATAI DE MELO - BR 226,S/N,CENTRO;-1,520726;-48,649237;Tim;Acquired;Y;Wireless;Tower;;;12/16/2015;16/12/2015;;12/01/2016 13:23;;;60;;Monopole;;;;;;;;;;;;;;;X;;;683495623
